Datetime,Value
12/28/2023 20:02:16,30.39
12/28/2023 20:02:17,30.56
12/28/2023 20:02:18,30.71
12/28/2023 20:02:19,30.83
12/28/2023 20:02:20,30.92
12/28/2023 20:02:21,30.97
12/28/2023 20:02:23,29.26
12/28/2023 20:02:24,29.51
12/28/2023 20:02:25,29.75
12/28/2023 20:02:26,29.98
12/28/2023 20:02:27,30.20
12/28/2023 20:02:28,30.39
12/28/2023 20:02:29,30.56
12/28/2023 20:02:30,30.71
12/28/2023 20:02:31,30.83
12/28/2023 20:02:32,30.92
12/28/2023 20:02:33,30.97
12/28/2023 20:02:34,31.00
12/28/2023 20:02:35,30.99
12/28/2023 20:02:36,30.95
12/28/2023 20:02:37,30.88
12/28/2023 20:02:38,30.77
12/28/2023 20:02:40,29.26
12/28/2023 20:02:41,29.51
12/28/2023 20:02:42,29.75
12/28/2023 20:02:43,29.98
12/28/2023 20:02:44,30.20
12/28/2023 20:02:45,30.39
12/28/2023 20:02:46,30.56
12/28/2023 20:02:47,30.71
12/28/2023 20:02:48,30.83
12/28/2023 20:02:49,30.92
12/28/2023 20:02:50,30.97
12/28/2023 20:02:51,31.00
12/28/2023 20:02:52,30.99
12/28/2023 20:02:55,
12/28/2023 20:02:56,29.26
12/28/2023 20:02:57,29.51
12/28/2023 20:02:58,29.75
12/28/2023 20:02:59,29.98
12/28/2023 20:03:00,30.20
12/28/2023 20:03:01,30.39
12/28/2023 20:03:02,30.56
12/28/2023 20:03:03,30.71
12/28/2023 20:03:04,30.83
12/28/2023 20:03:05,30.92
12/28/2023 20:03:06,30.97
12/28/2023 20:03:07,31.00
12/28/2023 20:03:08,30.99
12/28/2023 20:03:09,30.95
12/28/2023 20:03:10,30.88
12/28/2023 20:03:11,30.77
12/28/2023 20:03:12,30.64
12/28/2023 20:03:13,30.48
12/28/2023 20:03:14,30.29
12/28/2023 20:03:15,30.09
12/28/2023 20:03:16,29.87
12/28/2023 20:03:17,29.63
12/28/2023 20:03:18,29.38
12/28/2023 20:03:19,29.13
12/28/2023 20:03:20,28.87
12/28/2023 20:03:21,28.61
12/28/2023 20:03:22,28.37
12/28/2023 20:03:23,28.13
12/28/2023 20:03:24,27.91
12/28/2023 20:03:25,27.70
12/28/2023 20:03:26,27.52
12/28/2023 20:03:44,
12/28/2023 20:03:45,29.26
12/28/2023 20:03:46,29.51
12/28/2023 20:03:47,29.75
12/28/2023 20:03:48,29.98
12/28/2023 20:03:49,30.20
12/28/2023 20:03:50,30.39
12/28/2023 20:03:51,30.56
12/28/2023 20:03:52,30.71
12/28/2023 20:03:53,30.83
12/28/2023 20:03:54,30.92
12/28/2023 20:03:55,30.97
12/28/2023 20:03:56,31.00
12/28/2023 20:03:57,30.99
12/28/2023 20:03:58,30.95
12/28/2023 20:03:59,30.88
12/28/2023 20:04:01,29.26
12/28/2023 20:04:02,29.51
12/28/2023 20:04:03,29.75
12/28/2023 20:04:04,29.98
12/28/2023 20:04:05,30.20
12/28/2023 20:04:06,30.39
12/28/2023 20:04:07,30.56
12/28/2023 20:04:08,30.71
12/28/2023 20:04:09,30.83
12/28/2023 20:04:10,30.92
12/28/2023 20:04:11,30.97
12/28/2023 20:04:12,31.00
12/28/2023 20:04:14,29.26
12/28/2023 20:04:15,29.51
12/28/2023 20:04:16,29.75
12/28/2023 20:04:17,29.98
12/28/2023 20:04:18,30.20
12/28/2023 20:04:19,30.39
12/28/2023 20:04:20,30.56
12/28/2023 20:04:21,30.71
12/28/2023 20:04:22,30.83
12/28/2023 20:04:23,30.92
12/28/2023 20:04:24,30.97
12/28/2023 20:04:25,31.00
12/28/2023 20:04:27,29.26
12/28/2023 20:04:28,29.51
12/28/2023 20:04:29,29.75
12/28/2023 20:04:30,29.98
12/28/2023 20:04:31,30.20
12/28/2023 20:04:32,30.39
12/28/2023 20:04:33,30.56
12/28/2023 20:04:34,30.71
12/28/2023 20:04:35,30.83
12/28/2023 20:04:36,30.92
12/28/2023 20:04:37,30.97
12/28/2023 20:04:38,31.00
12/28/2023 20:04:40,29.26
12/28/2023 20:04:41,29.51
12/28/2023 20:04:42,29.75
12/28/2023 20:04:43,29.98
12/28/2023 20:04:44,30.20
12/28/2023 20:04:45,30.39
12/28/2023 20:04:46,30.56
12/28/2023 20:04:47,30.71
12/28/2023 20:04:48,30.83
12/28/2023 20:04:49,30.92
12/28/2023 20:04:50,30.97
12/28/2023 20:04:52,29.26
12/28/2023 20:04:53,29.51
12/28/2023 20:04:54,29.75
12/28/2023 20:04:55,29.98
12/28/2023 20:04:56,30.20
12/28/2023 20:04:57,30.39
12/28/2023 20:04:58,30.56
12/28/2023 20:04:59,30.71
12/28/2023 20:05:00,30.83
12/28/2023 20:05:01,30.92
12/28/2023 20:05:02,30.97
12/28/2023 20:05:04,29.26
12/28/2023 20:05:05,29.51
12/28/2023 20:05:06,29.75
12/28/2023 20:05:07,29.98
12/28/2023 20:05:08,30.20
12/28/2023 20:05:09,30.39
12/28/2023 20:05:10,30.56
12/28/2023 20:05:11,30.71
12/28/2023 20:05:12,30.83
12/28/2023 20:05:13,30.92
12/28/2023 20:05:14,30.97
12/28/2023 20:05:15,31.00
12/28/2023 20:05:32,
12/28/2023 20:05:33,29.26
12/28/2023 20:05:34,29.51
12/28/2023 20:05:35,29.75
12/28/2023 20:05:36,29.98
12/28/2023 20:05:37,30.20
12/28/2023 20:05:38,30.39
12/28/2023 20:05:39,30.56
12/28/2023 20:05:40,30.71
12/28/2023 20:05:41,30.83
12/28/2023 20:05:42,30.92
12/28/2023 20:05:43,30.97
12/28/2023 20:05:44,31.00
12/28/2023 20:05:46,29.26
12/28/2023 20:05:47,29.51
12/28/2023 20:05:48,29.75
12/28/2023 20:05:49,29.98
12/28/2023 20:05:50,30.20
12/28/2023 20:05:51,30.39
12/28/2023 20:05:52,30.56
12/28/2023 20:05:53,30.71
12/28/2023 20:05:54,30.83
12/28/2023 20:05:55,30.92
12/28/2023 20:05:56,30.97
12/28/2023 20:05:57,31.00
12/28/2023 20:05:58,30.99
12/28/2023 20:05:59,30.95
12/28/2023 20:06:00,30.88
12/28/2023 20:06:17,
12/28/2023 20:06:18,29.26
12/28/2023 20:06:19,29.51
12/28/2023 20:06:20,29.75
12/28/2023 20:06:21,29.98
12/28/2023 20:06:22,30.20
12/28/2023 20:06:23,30.39
12/28/2023 20:06:24,30.56
12/28/2023 20:06:25,30.71
12/28/2023 20:06:26,30.83
12/28/2023 20:06:27,30.92
12/28/2023 20:06:28,30.97
12/28/2023 20:06:29,31.00
12/28/2023 20:06:30,30.99
12/28/2023 20:06:31,30.95
12/28/2023 20:06:32,30.88
12/28/2023 20:06:33,30.77
12/28/2023 20:06:35,29.26
12/28/2023 20:06:36,29.51
12/28/2023 20:06:37,29.75
12/28/2023 20:06:38,29.98
12/28/2023 20:06:39,30.20
12/28/2023 20:06:40,30.39
12/28/2023 20:06:41,30.56
12/28/2023 20:06:42,30.71
12/28/2023 20:06:43,30.83
12/28/2023 20:06:44,30.92
12/28/2023 20:06:45,30.97
12/28/2023 20:06:46,31.00
12/28/2023 20:06:48,29.26
12/28/2023 20:06:49,29.51
12/28/2023 20:06:50,29.75
12/28/2023 20:06:51,29.98
12/28/2023 20:07:03,
12/28/2023 20:07:04,29.26
12/28/2023 20:07:05,29.51
12/28/2023 20:07:06,29.75
12/28/2023 20:07:07,29.98
12/28/2023 20:07:08,30.20
12/28/2023 20:07:09,30.39
12/28/2023 20:07:10,30.56
12/28/2023 20:07:11,30.71
12/28/2023 20:07:12,30.83
12/28/2023 20:07:13,30.92
12/28/2023 20:07:14,30.97
12/28/2023 20:07:16,29.26
12/28/2023 20:07:17,29.51
12/28/2023 20:07:18,29.75
12/28/2023 20:07:19,29.98
12/28/2023 20:07:20,30.20
12/28/2023 20:07:21,30.39
12/28/2023 20:07:22,30.56
12/28/2023 20:07:23,30.71
12/28/2023 20:07:24,30.83
12/28/2023 20:07:25,30.92
12/28/2023 20:07:26,30.97
12/28/2023 20:07:28,29.26
12/28/2023 20:07:29,29.51
12/28/2023 20:07:30,29.75
12/28/2023 20:07:31,29.98
12/28/2023 20:07:32,30.20
12/28/2023 20:07:33,30.39
12/28/2023 20:07:34,30.56
12/28/2023 20:07:35,30.71
12/28/2023 20:07:36,30.83
12/28/2023 20:07:37,30.92
12/28/2023 20:07:38,30.97
12/28/2023 20:07:39,31.00
12/28/2023 20:07:40,30.99
12/28/2023 20:07:41,30.95
12/28/2023 20:07:42,30.88
12/28/2023 20:07:44,29.26
12/28/2023 20:07:45,29.51
12/28/2023 20:07:46,29.75
12/28/2023 20:07:47,29.98
12/28/2023 20:07:48,30.20
12/28/2023 20:07:49,30.39
12/28/2023 20:07:50,30.56
12/28/2023 20:07:51,30.71
12/28/2023 20:07:52,30.83
12/28/2023 20:07:53,30.92
12/28/2023 20:07:54,30.97
12/28/2023 20:07:55,31.00
12/28/2023 20:07:57,29.26
12/28/2023 20:07:58,29.51
12/28/2023 20:07:59,29.75
12/28/2023 20:08:00,29.98
12/28/2023 20:08:01,30.20
12/28/2023 20:08:02,30.39
12/28/2023 20:08:03,30.56
12/28/2023 20:08:04,30.71
12/28/2023 20:08:05,30.83
12/28/2023 20:08:06,30.92
12/28/2023 20:08:07,30.97
12/28/2023 20:08:08,31.00
12/28/2023 20:08:09,30.99
12/28/2023 20:08:10,30.95
12/28/2023 20:08:11,30.88
12/28/2023 20:08:12,30.77
